"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"C";24;"CHI";36;14;15.5;28.7;1.4;2.2;64.6;0.6;0.8;71.4;0.6;1.7;2.3;0.9;0.3;0.7;0.4;1.5;6
"SF";38;"MIL";58;1;16.6;41.8;0.5;1;48.2;0.6;0.7;85.4;0.3;1.8;2.1;1.2;0.4;0.2;0.8;1.3;6.7
"PF";21;"BRK";47;9;14.6;36.7;1;1.9;52.9;0.5;0.8;63.2;0.5;2.4;2.9;1.1;0.5;0.1;1;1.9;4.6
"PF";24;"LAL";61;9;25;31.6;3.4;6.5;51.8;1.9;2.5;73.5;0.9;3.6;4.5;1.3;0.5;0.4;1.5;2.1;12.8
"C";23;"POR";33;1;17.2;23.1;2.4;4.1;58.2;0.8;1;75.8;2;3.2;5.1;1.3;0.2;0.9;0.9;2.7;5.8
"SG";27;"IND";46;42;28.1;33.5;3.5;7;50.8;2;2.4;83.6;0.5;3.8;4.3;2.1;1.2;0.5;1.1;2.3;12.5
"SG";24;"CHI";60;60;34.8;38;5.9;11.9;49.7;4.5;5.6;80.2;0.7;4.1;4.8;4.2;1.5;0.5;3.4;2.2;25.5
"SF";24;"ORL";8;0;7.8;14.3;0.6;1.4;45.5;0.3;0.8;33.3;0.3;1.1;1.4;0.4;0.3;0;0.3;0.8;1.9
"PF";25;"MIN";23;2;22;33.3;2.5;4.7;53.3;1;1.4;75;0.7;1.7;2.5;0.7;0.7;0.4;1;2;9.1
"PF";22;"IND";28;1;7.9;27.8;1.1;2.4;45.6;0.3;0.6;43.8;0.8;1.7;2.5;0.3;0.4;0.1;0.3;0.8;3
"PG";19;"PHO";5;0;6.4;0;0.8;1.2;66.7;0.4;0.4;100;0;0.4;0.4;0.4;0;0;0.4;0.6;2
"SG";34;"DAL";24;9;14.4;44.7;0.8;1.5;54.3;0.3;0.3;85.7;0.3;1;1.3;0.5;0.8;0.3;0.5;1.4;4.5
"SG";27;"GSW";49;36;29;35.6;2.6;5.6;47.1;2.2;2.6;87.3;0.7;4.2;4.9;2.7;1;0.1;1.4;2.4;12.7
"C";26;"TOT";55;12;17.6;27.1;2.9;4.7;61.9;1.2;1.9;64.8;1.8;4;5.8;0.9;0.4;0.9;1;2.3;8
"C";26;"ATL";40;9;18.6;25;3.2;5.1;62.7;1.3;2;63;1.7;4;5.8;1.1;0.5;0.8;1;2.3;8.7
"C";27;"MIA";51;49;20.3;41.4;1.3;2.1;62.3;0.4;0.5;64.3;0.6;4.5;5.1;1.1;0.3;0.3;0.8;2.1;6.1
"SG";25;"BRK";45;31;29.6;36.4;5.1;11.4;45.1;3.1;4.4;71.1;1.1;3.1;4.2;4.4;1.2;0.2;2.6;1.8;18.7
"PG";29;"POR";66;66;37.5;40.1;5.4;10.2;52.4;7;7.8;88.8;0.5;3.8;4.3;8;1.1;0.3;2.9;1.7;30
"PF";19;"POR";48;5;11.9;23.7;1.1;1.9;55.4;0.6;0.9;63.6;0.6;1.6;2.3;0.5;0.3;0.3;0.3;1.5;3.6
"C";23;"GSW";20;4;13.1;7.1;1.4;3.3;43.1;0.5;0.6;75;1.4;1.9;3.3;1;0.6;0.3;0.6;1.7;3.4
"C";31;"MIL";68;67;26.7;31.4;2.8;5.1;54.9;1.9;2.2;83.6;0.9;3.7;4.6;1.5;0.7;2.4;1;2.4;12
"C";31;"MIL";66;5;14.5;33.3;1.7;2.9;57.7;0.4;0.8;52.8;0.8;1.6;2.4;0.7;0.2;0.7;1;1.5;5.4
