"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"SG";24;"BRK";33;0;11.1;18.8;0.9;2.3;40;0.5;0.5;93.8;0.3;1.3;1.6;1.7;0.5;0.1;1;1.1;3.6
"C";29;"DEN";61;1;17.3;0;2.9;4.6;62.5;1.4;2.5;53.5;1.6;3.6;5.2;2.5;0.5;0.6;1.3;2.3;7.2
"C";24;"SAS";66;18;17.7;NA;2.5;4;62.4;0.6;1.3;46.5;2;3.7;5.7;1.8;0.6;1.4;0.8;1.9;5.6
"C";26;"BOS";22;0;5.9;50;0.7;1.5;47.1;0.3;0.3;85.7;0.6;1.4;2;0.4;0.1;0.4;0.4;1.1;1.9
"PG";21;"TOR";4;0;2.8;50;0.5;0.8;66.7;0.5;0.5;100;0;0.3;0.3;0.5;0;0.3;0;0.5;2.3
"SG";20;"GSW";57;14;22.4;27.9;1.6;4.2;39.2;1.7;2.1;79.8;0.2;1.9;2.1;2.4;0.6;0.2;1.3;1.6;8.8
"SF";19;"CLE";50;3;23.2;33.5;2.7;5.3;50.6;1.5;2;72.3;0.4;2.8;3.2;2.2;0.9;0.3;1.9;2.7;10
"PF";21;"DEN";55;8;16.4;42.2;2.4;4.3;56.4;1.1;1.3;83.3;1.2;3.5;4.7;0.8;0.5;0.5;0.9;1.8;9.3
"SF";26;"CHI";14;9;23.6;38.7;2.7;5.6;48.7;1.4;1.9;70.4;0.9;2.5;3.4;1.8;1.1;0.4;0.8;2.2;11.9
"C";24;"NYK";66;5;21.1;35.8;3;6.1;49.3;1.1;1.4;76.3;1.2;3.9;5.1;1.5;0.5;0.3;1.1;1.7;10.1
"PF";24;"DAL";57;57;31.8;35.2;4.5;9.3;48.4;4;5;79.9;1.8;7.7;9.5;1.8;0.7;2;1.6;3.2;20.4
"C";28;"DAL";40;37;26.5;25.6;3.4;4.8;71.6;1.9;2.8;66.7;1.9;3.8;5.7;1.5;0.9;0.6;0.9;2.6;9.4
"SG";26;"TOR";52;26;28.4;39.9;3.6;6.3;57.5;2.5;2.9;84.3;0.5;3.2;3.7;1.8;1.2;0.4;1.5;2.1;16
"PG";26;"GSW";3;0;13.3;0;0;0.7;0;1.7;2;83.3;0;0.7;0.7;1.7;0.7;0;0;1;1.7
"PF";25;"NYK";64;64;32.5;27.7;6.2;12.1;51.5;4;5.5;73.3;2.4;7.4;9.7;3.1;0.8;0.3;3;2.8;19.5
"SG";22;"DAL";4;0;7;0;0.8;1.8;42.9;0.5;0.5;100;0.3;0.5;0.8;0.8;0;0;0;1.3;2
"SF";20;"ATL";58;34;26.7;33.2;2.2;5.2;42.8;1.7;2.2;80.2;0.6;3.1;3.7;1.5;1.1;0.5;1.7;2.3;10.5
"SG";35;"NOP";60;36;26.4;45.3;1.8;3.9;45.3;2.8;3.1;89.2;0.2;2.4;2.5;2;0.3;0.2;1.3;1.6;15.3
"C";20;"MIN";30;11;16.5;33;2.3;4.9;46.6;1.2;1.8;69.8;1.1;3;4.1;1.2;0.6;0.7;0.7;2.8;9
"SG";26;"PHI";55;53;30.8;34.1;3.5;7.2;48.6;2.1;2.6;80.9;0.7;2.4;3.2;2.9;0.9;0.7;1.9;2.5;13.7
"SG";27;"HOU";68;4;23.4;35.6;1.7;3.4;49.8;1.1;1.6;70.3;0.4;2.2;2.6;1.7;0.7;0.1;0.7;1.9;8.8
"SG";28;"OKC";7;0;12.4;21.4;0.7;2.1;33.3;0.1;0.3;50;1;2.9;3.9;0.6;0.1;0.4;0.3;1.9;2.9
"SF";25;"MIA";73;68;29.7;44.6;0.7;1.1;65.4;0.9;1;93.1;0.1;3;3.2;1.4;0.5;0.3;1;2.6;13.5
"SF";26;"TOT";62;52;28.8;39.1;3.4;6.4;53.4;1.2;1.4;86;1.3;3;4.4;1.5;0.9;0.3;0.9;1.6;11.7
"SF";26;"GSW";48;48;31.6;40;3.7;7;52.2;1.3;1.5;85.1;1.4;3.3;4.7;1.8;0.9;0.3;1;1.7;12.9
"SF";26;"PHI";14;4;19.3;33.3;2.5;4.1;60.3;0.8;0.9;91.7;1.1;2.1;3.1;0.8;0.6;0.1;0.4;1.3;7.7
"SG";22;"TOT";63;6;15.5;32;1;2.5;42;0.6;0.9;70.2;0.2;1.8;2;1.4;0.4;0.3;0.8;1.8;5.1
"SG";22;"LAC";42;1;11.3;28.4;0.6;1.6;39.1;0.3;0.5;57.9;0.1;1.3;1.4;1.1;0.3;0.2;0.6;1.3;2.9
"SG";22;"WAS";21;5;24;34.9;1.9;4.2;44.3;1.4;1.8;76.3;0.4;2.9;3.3;2;0.7;0.4;1.1;2.7;9.4
"PG";22;"WAS";9;0;5.4;60;0.2;0.8;28.6;0;0;NA;0.1;0.4;0.6;0.8;0;0.1;0.3;0.2;1.4
"C";21;"NYK";61;7;23.1;NA;4.1;5.6;74.2;1.4;2.4;56.8;3;4;7;0.6;0.9;2;0.6;3.2;9.7
"SF";21;"OKC";3;0;3.7;NA;0;0.3;0;0;0;NA;0;0.7;0.7;0;0;0;0.3;0.3;0
"PG";33;"LAL";48;3;20.5;32.8;2;4.2;47.3;0.6;0.9;65.9;0.5;2.5;3;5;0.8;0;1.9;1.2;7.1
"PG";31;"DET";50;15;26;30.6;6.5;12.1;53.5;2.4;2.8;87.1;0.5;1.9;2.4;5.6;0.8;0.3;2.5;1;18.1
"SG";28;"ORL";69;0;27.4;35.1;2.4;5;48;2.3;2.7;85.3;0.2;3;3.2;1.2;1.1;0.3;1;1.6;14.7
"PG";25;"CHO";63;63;34.3;40.7;3.6;8.2;43.6;2.6;3;87.4;0.8;3.6;4.4;4.1;1;0.2;2.2;2;18
"PG";29;"PHO";65;65;31;36.1;3.2;7.3;43.9;3;3.5;86.3;0.7;4;4.7;8.8;1.4;0.2;2.7;2.6;13
"PG";23;"TOT";45;45;32.3;36.7;4.5;9.2;48.7;3.6;4.4;80.9;0.4;3.6;3.9;6.3;1.1;0.3;3.3;1.9;23.1
"PG";23;"GSW";33;33;32.1;37.4;4.6;9.5;48.7;3.4;4.4;78.5;0.4;3.3;3.7;6.2;0.9;0.3;3.1;1.9;23.6
"PG";23;"MIN";12;12;32.7;34.5;4.1;8.4;48.5;4;4.6;87.3;0.3;4.3;4.6;6.6;1.4;0.3;3.8;1.8;21.7
"C";23;"IND";62;62;34.8;25.4;7.1;12.6;56.5;3.5;4.8;72.3;3;9.4;12.4;5;0.8;0.5;2.7;3.1;18.5
"PF";20;"SAS";3;1;16;37.5;0.7;2.7;25;1;1.3;75;0.3;3;3.3;2;0;0.7;0.7;2;5.3
"SF";26;"IND";34;12;13.9;15.4;1.9;3;64.7;0.5;0.8;66.7;0.6;2;2.6;0.6;0.5;0.4;0.4;1.9;4.6
"PF";25;"PHO";66;51;24.7;35.7;2.6;4.6;56.8;1.6;1.9;84.4;1.5;4.6;6.2;1.9;0.6;0.2;1.3;2.4;10.7
"PG";28;"CHI";65;64;28.9;32.2;2.7;5.4;49.1;1.6;1.9;87.6;1.2;2.7;3.9;5.4;1.2;0.1;2;2.1;9.9
"SF";22;"WAS";33;2;11.2;31.1;0.5;0.9;51.6;0.3;0.5;66.7;0.2;1.2;1.4;0.5;0.2;0.1;0.2;1.5;3
"PG";26;"OKC";65;2;30.8;38.5;5;9.8;51.3;3;3.6;83.9;0.3;3.3;3.6;4;0.7;0.2;2.6;2.2;18.9
"PF";31;"PHI";68;11;17.8;36.9;1;2;51.9;0.4;0.5;81.1;1;2.7;3.6;0.8;0.3;0.1;0.4;1.4;6
"PF";35;"HOU";41;0;10.6;27.8;0.5;0.9;59.5;0.1;0.2;37.5;0.5;1.8;2.3;0.6;0.6;0.3;0.4;1;2.2
"SG";21;"CLE";65;65;33;38;6.4;12.8;50.1;3.5;4.1;84.6;0.9;2.2;3.1;3;1;0.1;2.4;2.2;20.8
"SG";24;"PHI";4;0;7;33.3;0.3;1.5;16.7;0.8;1;75;0.3;1.5;1.8;0.3;0;0.3;0.8;1;2.8
"SG";29;"BRK";13;0;18.5;24.2;1;2.4;41.9;0.3;0.5;57.1;0.7;1.9;2.6;0.9;0.9;0.2;0.8;1.6;4.2
"PF";25;"TOR";60;60;35.2;35.9;6.2;12.3;49.9;4;5.1;79.2;1.1;6.3;7.3;3.5;1;0.9;2.5;2.8;22.9
"PF";23;"MIA";44;0;7.9;0;1.1;1.7;64;0.8;1.3;67.3;1.4;1.5;2.9;0.5;0.2;0.5;0.7;1.9;3
"PG";23;"PHI";57;57;35.4;28.6;6.5;11.2;58.3;3.2;5.2;62.1;2;5.8;7.8;8;2.1;0.6;3.5;3.3;16.4
"SG";20;"POR";70;4;20.7;33.2;2;4.4;44.8;1.1;1.3;82.6;0.4;1.8;2.2;1.4;0.4;0.1;0.9;1.9;8.3
"PF";19;"GSW";14;0;9.9;23.1;1.2;1.9;63;1.1;1.4;84.2;0.7;1.2;1.9;0.9;0.2;0.3;0.8;1;4.2
"SG";25;"BOS";60;40;32;34.7;2;4.8;41.5;2.1;2.5;83.6;0.7;3.1;3.8;4.9;1.7;0.5;1.7;2.7;12.9
"PG";22;"NYK";34;3;15.8;29.6;1.6;4.6;35.7;0.8;1.6;50.9;0.6;1.7;2.3;2.9;0.8;0.2;1.7;1.9;5.5
"PG";31;"WAS";68;23;26.3;36.7;3.6;7.6;47.3;0.9;1.3;72.1;0.4;2.8;3.2;4.9;0.9;0.4;1.4;1.6;10.9
"SG";34;"LAL";6;0;13.2;9.1;1;1.8;54.5;0.3;0.3;100;0;0.8;0.8;0.5;0.2;0;0.7;0.8;2.8
"SG";20;"PHI";7;0;4.6;0;0.4;1.1;37.5;0.3;0.6;50;0;0.3;0.3;0.3;0.4;0;0.3;0.6;1.1
"SF";28;"DET";59;57;27.8;40.2;1.2;2.2;53.1;0.5;0.5;100;0.2;1.7;1.9;2.2;0.5;0.3;0.5;1.7;8
"PF";22;"GSW";49;3;18.1;39.1;1.7;3.8;45.4;1.5;1.9;79.3;1.6;2.9;4.5;1;0.7;0.5;1.1;1.3;7.6
"SG";23;"CHI";2;0;3;0;1;1;100;0.5;0.5;100;0.5;0;0.5;0;0;0;0;0.5;2.5
"PG";24;"IND";31;3;14.4;26.4;1.5;2.9;52.8;0.5;0.9;55.2;0.4;1.1;1.5;1.8;0.5;0.3;0.7;1.4;4.9
"PF";22;"TOT";27;1;10.7;0;1;1.7;62.2;0.3;0.6;52.9;1;2.7;3.7;1.1;0.1;0.3;1.4;2.3;2.4
"PF";22;"SAC";7;0;3.3;NA;0.3;0.6;50;0.1;0.3;50;0.3;0.7;1;0.3;0.1;0.3;0.9;1.1;0.7
"PF";22;"POR";20;1;13.3;0;1.3;2.1;63.4;0.4;0.8;53.3;1.3;3.4;4.7;1.5;0.1;0.3;1.6;2.7;3
"PF";21;"BOS";66;66;34.3;40.3;5.5;11.5;48;3.8;4.7;81.2;1;6;7;3;1.4;0.9;2.3;2.1;23.4
"PG";31;"TOT";59;17;24.8;36.8;2.9;6.3;45.7;2.9;3.3;87.3;0.5;1.9;2.4;5.2;0.7;0.3;2;1.8;10.9
"PG";31;"MIN";34;13;27.8;37.9;3.3;7;47.3;3.7;4.2;86.8;0.4;2.1;2.6;6.1;0.7;0.4;2.2;2.1;13.2
"SG";33;"BRK";62;35;27.9;32.9;1.5;3.2;47.3;1.1;1.4;80.5;0.5;3;3.5;2.5;0.8;0.5;1;1.7;10.3
"C";27;"BOS";65;64;24.1;33.3;3.2;5.1;63.3;1.3;1.8;76.3;2.2;4.4;6.6;1.7;0.6;1.3;0.8;3.4;9.2
"SG";23;"DET";8;0;7.6;35.7;0;0.4;0;0.3;0.5;50;0.1;0;0.1;0.4;0.4;0;0.4;1.1;2.1
"SF";31;"BRK";7;4;14;30.8;0.6;1.4;40;0.6;0.6;100;0.3;1.6;1.9;0.9;0;0;0.9;1.6;3.4
"SG";25;"TOR";41;1;10.7;47.5;0.6;1.2;51;0.2;0.3;75;0.2;1.3;1.5;0.5;0.2;0;0.4;0.9;4.9
"C";28;"CLE";57;51;30.2;39.1;4.9;9.5;51.8;1.7;2.8;61.5;4;6.2;10.1;2.1;0.6;0.9;1.8;2.2;12
"SG";25;"NOP";2;0;17.5;50;2;3.5;57.1;1;2;50;0;2;2;2;0.5;0.5;1;1;8
"SG";22;"PHI";65;14;19.8;35.7;0.9;1.7;51.9;0.4;0.6;61;0.7;1;1.6;1.2;1.4;0.7;0.8;2.2;4.7
"PF";34;"TOT";55;13;15.9;33.8;0.3;0.7;43.2;0.4;0.5;72.4;0.6;2.2;2.8;0.8;0.3;0.2;0.6;1.3;3.6
"PF";34;"POR";33;9;16.8;33.7;0.4;0.8;46.4;0.4;0.6;68.4;0.8;2.5;3.3;0.9;0.2;0.3;0.6;1.6;3.9
"PF";34;"SAC";9;0;9.1;13.3;0.1;0.2;50;0.1;0.2;50;0.2;1;1.2;0.3;0.4;0.1;0.4;0.7;1
"PF";34;"MEM";13;4;18.2;41.5;0.2;0.5;28.6;0.5;0.6;87.5;0.4;2.2;2.5;0.8;0.5;0.1;0.7;1.1;4.8
"SF";26;"GSW";13;6;20.9;34.8;1.6;3.1;52.5;0.2;0.4;60;0.7;3.3;4;2;1;0.4;1.2;2.3;5.3
"C";24;"MIN";35;35;33.9;41.2;5.8;9.9;58.6;5.1;6.5;79.6;2.7;8.1;10.8;4.4;0.9;1.2;3.1;3.3;26.5
"PG";24;"NYK";24;1;12.1;35.8;1.3;2.2;60.4;1.4;1.8;79.1;0.3;1;1.2;1.2;0.1;0.2;0.9;1.2;6.5
"PF";34;"HOU";72;72;34.3;35.8;1;1.8;55.1;0.5;0.7;81.3;1.6;5.1;6.6;1.6;1.1;0.5;1;3.2;6.9
"SG";22;"UTA";20;0;8.1;17.6;0.9;1.3;65.4;1;1.2;82.6;0.2;0.9;1;0.3;0.1;0.1;0.4;0.5;3.1
"PG";31;"ATL";19;0;13.2;0;1.3;3.3;40.3;0.6;0.7;85.7;0.4;1.6;2;2;0.5;0.4;1.4;1.1;3.3
"SF";26;"TOT";7;0;7.6;33.3;0.6;1.3;44.4;0.3;0.3;100;0.3;0.6;0.9;0;0.1;0;0;0.3;2.7
"SF";26;"MEM";4;0;3.5;0;0.3;0.8;33.3;0.5;0.5;100;0.3;0;0.3;0;0.3;0;0;0.3;1
"SF";26;"WAS";3;0;13;60;1;2;50;0;0;NA;0.3;1.3;1.7;0;0;0;0;0.3;5
"C";27;"MEM";70;70;26.4;35.2;5.7;9.3;61.7;2.1;2.9;74;3;8.2;11.3;1.9;0.4;1.1;1.8;2.6;14.9
"SF";26;"CHI";36;5;13.6;33.6;1.4;2.8;51;0.2;0.2;75;0.3;1.8;2.1;1.2;0.7;0.2;0.7;1.4;6.8
"SF-PF";20;"TOT";11;0;4.2;0;0.5;0.6;71.4;0.2;0.2;100;0.3;0.5;0.8;0.2;0.3;0.1;0.6;0.5;1.1
"SF";20;"DEN";9;0;4.6;NA;0.6;0.8;71.4;0;0;NA;0.3;0.6;0.9;0.2;0.3;0.1;0.8;0.7;1.1
"PF";20;"MIN";2;0;2.5;0;0;0;NA;1;1;100;0;0.5;0.5;0;0;0;0;0;1
"PG";25;"TOR";54;54;35.7;39;3.2;7.4;43.4;3.1;3.7;84.8;0.3;3.4;3.8;6.6;1.9;0.3;2.2;2.4;17.6
"PG";23;"MIA";9;0;9.2;22.2;0.2;1.1;20;0;0;NA;0;0.6;0.6;0.7;0.6;0;0.1;0.7;2.4
"C-PF";24;"TOT";36;1;10.5;20;1.4;2.1;63.6;0.7;0.9;78.1;1;2.4;3.4;0.8;0.3;0.2;0.6;1.1;3.7
"C";24;"MIN";29;1;12;14.3;1.6;2.5;62.5;0.8;1;82.1;1.2;2.8;4;0.9;0.4;0.2;0.7;1.2;4.1
"PF";24;"DEN";7;0;4.3;100;0.6;0.7;80;0.3;0.6;50;0.4;0.7;1.1;0.3;0;0;0.3;0.6;1.9
"C";29;"ORL";62;62;32.2;33.9;6.4;12;53.1;2.1;2.7;78.4;2.3;8.6;10.9;3.6;0.9;0.8;1.4;2.2;19.6
"PF";23;"CLE";12;0;5.9;50;0.6;0.8;77.8;0;0.1;0;0.3;1.3;1.6;0.2;0.2;0.3;0.3;0.7;1.7
"C";22;"WAS";45;5;18.6;31.3;2.7;4.1;64.5;1.7;2.1;82.1;1.2;3.6;4.9;1.2;0.6;0.4;1.5;3.4;8.7
"SG";28;"TOT";10;0;20.7;31.9;2.6;5.2;50;1.4;1.7;82.4;0.2;2.2;2.4;2;0.4;0.6;1.6;2.1;11.1
"SG";28;"MIA";3;0;14;47.1;0.7;3;22.2;0;0.3;0;0;3.7;3.7;1;0;0.7;1;1.7;9.3
"SG";28;"LAL";7;0;23.6;23.3;3.4;6.1;55.8;2;2.3;87.5;0.3;1.6;1.9;2.4;0.6;0.6;1.9;2.3;11.9
"PG";29;"BOS";56;56;31.1;38.1;3.5;7.4;47.6;3.7;4.3;86.4;0.6;3.2;3.9;4.8;0.9;0.5;2.1;1.6;20.4
"SG";21;"SAS";61;12;16.2;40.6;1.8;4.2;43.4;0.7;1;72.1;0.4;1.9;2.3;1.1;0.5;0.2;0.7;1.3;6.4
"SG";25;"ATL";14;0;11.4;6.7;0.9;2.1;44.8;0.8;1.2;64.7;0.2;1.4;1.6;0.9;0.5;0.1;0.7;1.4;2.9
"SF";25;"BRK";64;61;29;33.9;2.1;4.8;42.9;1.1;1.4;79.8;0.8;5.2;6;1.8;0.9;0.4;2;2.5;12.1
"PG";24;"TOT";26;1;9.5;41.7;0.3;0.6;53.3;0.3;0.3;77.8;0.1;0.5;0.6;1;0.3;0;0.2;0.8;2
"PG";24;"LAC";23;1;9.7;42.9;0.3;0.7;53.3;0.3;0.4;77.8;0.1;0.6;0.7;1;0.2;0;0.2;0.8;2.2
"PG";24;"DET";3;0;8.7;33.3;0;0;NA;0;0;NA;0;0.3;0.3;1.7;1;0;0.3;0.7;1
"PG";30;"BOS";71;1;19.3;36.3;1.8;3.7;48.1;1.8;1.9;92.6;0.3;1.7;2;2.5;0.9;0.2;1.1;1.9;6.9
"SF";26;"IND";67;67;32.9;40.3;6.6;11.5;57.5;2.5;3;81.9;1;3.2;4.2;1.5;1.2;0.5;1.3;2.8;19.8
"PF";21;"CHO";58;57;30.3;37.4;3.1;6.2;50.7;1.5;2.3;64.7;1;4.4;5.4;2.1;0.9;0.8;1.6;2.7;12.2
"SG";25;"MEM";18;0;5.8;37.5;0.7;1.4;46.2;0.2;0.4;37.5;0.4;0.7;1.1;0.3;0.3;0.1;0.1;0.5;2
"PG";22;"BOS";11;1;10.8;16.7;0.9;2.3;40;0.7;0.7;100;0;1.1;1.1;1.5;0.9;0.2;1.4;1.2;3.6
"SF-SG";25;"TOT";10;0;8.7;33.3;0.6;1.4;42.9;0.7;0.9;77.8;0.2;1.5;1.7;0.8;0.4;0.1;0.3;0.5;3.1
"SG";25;"ATL";2;0;8.5;0;0;2;0;0;0;NA;0;1;1;1.5;0.5;0;0;0.5;0
"SF";25;"TOR";8;0;8.8;44.4;0.8;1.3;60;0.9;1.1;77.8;0.3;1.6;1.9;0.6;0.4;0.1;0.4;0.5;3.9
"SG";23;"SAS";11;0;7.1;20;0.4;1.1;33.3;0.1;0.2;50;0.1;0.5;0.6;1;0.3;0.1;0.5;0.7;1.1
"PG";31;"HOU";57;57;35.9;25.8;9.6;18.7;51.4;5.1;6.7;76.3;1.8;6.2;7.9;7;1.6;0.4;4.5;3.5;27.2
"SG";19;"CHI";65;1;25.8;35.4;2.8;6.4;43;1.6;2;79.1;0.4;3.1;3.5;2.7;0.8;0.1;1.7;1.8;13.2
"SG";25;"SAS";68;20;24.7;36.6;2.6;4.9;51.8;2.6;3.1;85.3;0.5;2.8;3.3;3.5;0.6;0.9;1.3;2.2;11.3
"C";30;"POR";67;61;30;57.1;6.4;10.4;62.2;2.4;3.6;68.6;3.9;9.7;13.5;1.2;0.4;2.9;1.8;2.9;15.5
"SF-SG";24;"TOT";54;54;34.4;33.2;6;11.9;50.6;3.5;5;70.9;1.2;3.9;5.1;3.7;0.8;1;2.4;2.4;21.8
"SF";24;"MIN";42;42;34.6;33.1;6.2;12.3;50.5;3.5;4.9;72;1.1;4.1;5.2;3.7;0.7;0.9;2.5;2.4;22.4
"SG";24;"GSW";12;12;33.6;33.9;5.5;10.8;51.2;3.4;5.1;67.2;1.5;3.1;4.6;3.6;1.3;1.4;2.1;2.2;19.4
"PF";21;"BOS";69;5;15.1;25;0.9;1.7;54.8;0.6;0.8;72.2;0.9;1.7;2.6;1;0.4;0.5;0.7;2.4;3.4
"C";24;"WAS";15;6;12;0;1.3;2.1;59.4;0.5;0.9;53.8;1.6;2.7;4.3;0.5;0.1;0.5;0.3;1.1;3
"PF";25;"NOP";39;18;21.3;25.8;0.7;1.3;52;0.2;0.7;34.6;1.3;3.5;4.8;1.5;0.7;0.5;0.6;2.3;3.5
"SG";33;"LAC";65;8;28.7;35.2;4.3;9.6;45.1;4.5;5.2;86.1;0.5;2.6;3.1;5.6;0.7;0.2;2.8;1.2;18.2
"PF";33;"TOT";58;1;19.5;35.9;1.1;1.9;56.8;0.8;1;86;0.5;2.6;3.2;1;0.6;0.5;0.6;1.8;5.9
"PF";33;"CHO";41;1;19.7;37.6;1.2;2.3;53.8;1;1.2;86;0.4;2.3;2.7;1;0.6;0.5;0.6;1.7;6.7
"PF";33;"MIL";17;0;18.9;30.8;0.8;1.1;72.2;0.4;0.4;85.7;0.9;3.5;4.4;1.1;0.6;0.5;0.5;1.9;4
"C";22;"BOS";29;1;13.4;NA;2.2;3;72.7;0.8;1.2;64.7;1.4;3;4.4;0.9;0.8;1.2;0.7;1.8;5.2
"PF";19;"NOP";24;24;27.8;42.9;8.5;14.4;59;4.8;7.4;64;2.7;3.6;6.3;2.1;0.7;0.4;2.5;1.8;22.5
"PF";23;"MIL";37;1;9.8;24.7;0.9;1.6;57.6;0.3;0.5;61.1;0.3;2.2;2.5;0.7;0.1;0.1;0.5;0.9;3.6
"SF";23;"MIA";11;5;32;22.2;4;9.3;43.1;1.6;2.5;66.7;1.5;5.2;6.6;4;0.6;0.5;2.2;3.5;11.3
"PF";24;"DET";62;12;21.4;38.6;3.8;5.9;63.6;2.9;3.9;74.4;1.7;4.6;6.3;1;0.5;0.9;1.4;1.6;13.1
"SG";27;"DAL";73;5;21.5;37;2;3.9;50.4;1.1;1.4;77;1;2.9;3.8;3.3;1.2;0.3;1;1.3;6.9
"PG";22;"UTA";4;0;11.3;20;1.3;2.5;50;0.8;1;75;0;1.3;1.3;1.8;0.5;0;0.8;1.3;4.8
"PF";31;"CHI";64;16;24.9;35.6;3;5.9;50.1;0.7;1.1;58.3;1.5;3.5;4.9;1.8;1.4;0.4;1.6;2.1;10.3
"PG";21;"ATL";60;60;35.3;36.1;5.7;11.4;50.1;8;9.3;86;0.5;3.7;4.3;9.3;1.1;0.1;4.8;1.7;29.6
"C";27;"CHO";58;39;23.1;24;4;7;57.7;2.1;3.1;68.2;2.8;4.3;7.1;1.5;0.7;0.4;1.3;2.4;11.1
"C";30;"SAS";2;0;2;NA;0.5;2;25;0;0;NA;1.5;0.5;2;0;0;0;0;0;1
"C";23;"CLE";22;0;10;NA;1.9;3.3;56.9;0.6;0.9;73.7;0.8;2.2;3;0.3;0.3;0.2;0.5;1.2;4.4
"C";22;"LAC";72;70;18.4;0;3.3;5.3;61.6;1.7;2.3;74.7;2.7;4.8;7.5;1.1;0.2;0.9;0.8;2.3;8.3
