FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-18;130,23
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-21;130,51
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-22;130,75
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-23;130,66
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-24;130,3
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-25;129,98
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-28;130,36
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-29;129,99
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-30;129,86
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-31;129,42
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-01;129,51
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-04;129,97
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-05;129,65
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-06;129,83
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-07;130,3
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-08;130,9
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-11;131,56
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-12;131,26
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-13;130,81
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-14;130,78
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-15;130,93
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-18;130,67
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-19;130,61
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-20;130,45
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-21;131,08
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-22;130,85
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-25;130,83
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-26;130,97
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-27;130,17
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-28;130,37
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-01;130,36
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-04;130,85
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-05;131,37
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-06;131,41
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-07;131,16
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-08;132,35
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-11;130,95
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-12;130,51
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-13;130,35
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-14;130,19
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-15;129,81
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-18;129,61
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-19;129,64
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-20;129,87
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-21;128,88
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-22;129,22
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-25;129,4
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-26;129,13
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-27;129,85
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-28;130,44
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-29;129,39
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-01;129,12
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-02;129,2
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-03;128,9
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-04;129,03
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-05;129,42
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-08;129,01
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-09;128,85
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-10;128,46
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-11;128,45
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-12;128,64
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-15;128,64
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-16;128,44
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-17;128,3
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-23;128,38
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-24;128,67
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-25;129,43
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-26;129,47
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-29;129,78
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-30;129,52
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-02;130,53
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-03;130,98
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-06;131,13
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-07;130,74
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-08;131,65
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-09;131,35
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-10;131,52
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-13;131,45
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-14;131,19
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-15;131,2
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-16;130,58
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-20;131,2
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-21;131,1
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-22;130,69
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-23;130,61
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-24;130,64
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-27;130,57
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-28;130,09
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-29;130,85
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-05-31;131,11
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-03;130,93
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-04;131,04
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-05;130,87
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-06;131,33
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-07;131,18
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-11;130,81
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-12;130,99
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-13;130,86
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-14;130,87
B;Virkedag;DKK;Danske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-06-17;131,15
